Taxi Rank,Time the taxi join the queue,,,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key
Bergzicht,15:37:00,,15.62,0,15:54:00,CL77165,KAYAMANDI,10,676,16,16:01:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:38:00,,15.63,0,16:24:00,CL44818,CLOETESVILLE,9,665,14,16:27:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,15:39:00,,15.65,0,16:28:00,CL30861,CLOETESVILLE,9,636,14,16:30:00,18-Jun-18,Weekday PM,18Jun-636-Weekday PM-Bergzicht
Bergzicht,15:39:00,,15.65,0,16:16:00,GEORGE3WP,CLOETESVILLE,9,665,14,16:30:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,15:41:00,,15.68,0,16:19:00,CL50176,CLOETESVILLE,9,665,14,16:24:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,15:41:00,,15.68,0,15:41:00,CL30517,JAMESTOWN,10,670,16,16:00:00,18-Jun-18,Weekday PM,18Jun-670-Weekday PM-Bergzicht
Bergzicht,15:45:00,,15.75,0,16:01:00,CL77108,KAYAMANDI,10,676,16,16:05:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:47:00,,15.78,16,,CL48784,DEVON VALLEY,10,664,0,15:50:00,18-Jun-18,Weekday PM,18Jun-664-Weekday PM-Bergzicht
Bergzicht,15:48:00,,15.8,0,15:49:00,CL41119,SOMERSET WEST,15,T43,16,15:57:00,18-Jun-18,Weekday PM,18Jun-T43-Weekday PM-Bergzicht
Bergzicht,15:49:00,,15.82,0,15:58:00,DEONKWP,IDAS VALLEY,9,630,14,16:07:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
