Taxi Rank,Time the taxi join the queue,,Time in hours,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key,Column1,Date; Route Number; Survey Period; Taxi Rank
Bergzicht,11:00,,11.00,0,11:44:00,CL36788,IDASVALLEY, R9.00 ,630,14,11:55,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,30Jun-630-Saturday-Bergzicht
Bergzicht,11:00,,11.00,0,12:23:00,CL27056,IDASVALLEY, R9.00 ,630,15,12:28,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,30Jun-665-Saturday-Bergzicht
Bergzicht,11:00,,11.00,0,12:05:00,CL66300,IDASVALLEY, R9.00 ,630,14,12:22,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,30Jun-499-Saturday-Bergzicht
Bergzicht,11:00,,11.00,0,11:35:00,CL53491,IDASVALLEY, R9.00 ,630,15,11:43,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,30Jun-636-Saturday-Bergzicht
Bergzicht,11:00,,11.00,0,11:18:00,CL24530,IDASVALLEY, R9.00 ,630,15,11:35,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,30Jun-663-Saturday-Bergzicht
Bergzicht,11:00,,11.00,0,11:55:00,CL33233,IDASVALLEY, R9.00 ,665,15,12:05,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,11:00,,11.00,0,11:00:00,CL19254,SOMERSET WEST, R15.00 ,499,16,11:07:00,30-Jun-18,Saturday,30Jun-499-Saturday-Bergzicht,,30Jun-664-Saturday-Bergzicht
Bergzicht,11:00,,11.00,0,11:01:00,CL30835,IDASVALLEY, R9.00 ,630,15,11:10,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,30Jun-668-Saturday-Bergzicht
Bergzicht,11:00,,11.00,0,11:10:00,CL69021,IDASVALLEY, R9.00 ,630,14,11:18,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,30Jun-670-Saturday-Bergzicht
Bergzicht,11:00,,11.00,0,11:00:00,CL40350,CLOETESVILLE, R9.00 ,636,15,11:02:00,30-Jun-18,Saturday,30Jun-636-Saturday-Bergzicht,,30Jun-676-Saturday-Bergzicht
Bergzicht,11:00,,11.00,0,11:04:00,CL14561,VLOTTENBURG, R10.00 ,663,16,11:23:00,30-Jun-18,Saturday,30Jun-663-Saturday-Bergzicht,,30Jun-none-Saturday-Bergzicht
Bergzicht,11:00,,11.00,0,11:23:00,CL62851,VLOTTENBURG, R10.00 ,663,16,11:45:00,30-Jun-18,Saturday,30Jun-663-Saturday-Bergzicht,,30Jun-660-Saturday-Bergzicht
Bergzicht,11:00,,11.00,0,11:00:00,CL48784,DEVON VALLEY, R10.00 ,664,16,11:25:00,30-Jun-18,Saturday,30Jun-664-Saturday-Bergzicht,,30Jun-672-Saturday-Bergzicht
Bergzicht,11:00,,11.00,0,11:00:00,CL61881,KYLEMORE, R13.00 ,668,15,11:00:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,11:00,,11.00,0,11:01:00,CL10332,JAMESTOWN, R10.00 ,670,15,11:05:00,30-Jun-18,Saturday,30Jun-670-Saturday-Bergzicht,,
