Taxi Rank,Time the taxi join the queue,Time,Hours,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key,,Date; Route Number; Survey Period; Taxi Rank,No of Vehicle Trips,Average Vehicle Capacity,Max passengers,% Utilization,Date,Route Code,Survey Period,Survey Location
Bergzicht,8:23:00,0.3493056,8.3833333,0,,CL283,KYLEMORE, R13.00 ,668,,9:00:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:23:00,0.3493056,8.3833333,0,,CL19075,Devon Valley, R10.00 ,none,,9:00:00,18-Jun-18,Weekday AM,18Jun-none-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:25:00,0.3506944,8.4166667,0,,CL34620,KYLEMORE, R13.00 ,668,16,8:30:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:27:00,0.3520833,8.4500000,0,,CFM54430,Somerset West, R15.00 ,76,,9:00:00,18-Jun-18,Weekday AM,18Jun-76-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:27:00,0.3520833,8.4500000,0,8:28:00,CL14561,Vlottenburg, R10.00 ,663,,9:00:00,18-Jun-18,Weekday AM,18Jun-663-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:28:00,0.3527778,8.4666667,0,,CL74694,Cloetesville, R9.00 ,665,0,9:00:00,18-Jun-18,Weekday AM,18Jun-665-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:34:00,0.3569444,8.5666667,0,8:35:00,CL78692,KYLEMORE, R13.00 ,668,,9:00:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:36:00,0.3583333,8.6000000,0,,VKERWELWP,Idas Valley, R9.00 ,630,,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:36:00,0.3583333,8.6000000,4,9:00:00,CL30517,Jamestown, R10.00 ,670,,9:00:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:37:00,0.3590278,8.6166667,0,,CL24792,Somerset West, R15.00 ,none,,9:00:00,18-Jun-18,Weekday AM,18Jun-none-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:38:00,0.3597222,8.6333333,0,,CL55423,Cloetesville, R9.00 ,665,0,9:00:00,18-Jun-18,Weekday AM,18Jun-665-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:45:00,0.3645833,8.7500000,0,,CF90182,Koelenhof, R9.00 ,none,,9:00:00,18-Jun-18,Weekday AM,18Jun-none-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:46:00,0.3652778,8.7666667,0,,CL75723,Jamestown, R10.00 ,670,,9:00:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:48:00,0.3666667,8.8000000,0,,3JACOBSWP,Cloetesville, R9.00 ,665,0,9:00:00,18-Jun-18,Weekday AM,18Jun-665-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:48:00,0.3666667,8.8000000,0,,CL64025,KYLEMORE, R13.00 ,668,,9:00:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:54:00,0.3708333,8.9000000,1,,CL65735,Cloetesville, R9.00 ,636,0,9:00:00,18-Jun-18,Weekday AM,18Jun-636-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:56:00,0.3722222,8.9333333,0,,CF195069,Koelenhof, R9.00 ,511,,9:00:00,18-Jun-18,Weekday AM,18Jun-511-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:59:00,0.3743056,8.9833333,0,,CF195370,, R9.00 ,511,,9:00:00,18-Jun-18,Weekday AM,18Jun-511-Weekday AM-Bergzicht,,,,,,,,,,
