Taxi Rank,Time the taxi join the queue,,Time in hours,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key,Column1,Date; Route Number; Survey Period; Taxi Rank
Bergzicht,12:18,,12.3,0,12:24:00,CF95840,KAYAMANDI,10,676,18,12:32:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:20,,12.33,0,12:27:00,CL47400,KAYAMANDI,10,676,15,12:33:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:21,,12.35,0,12:25:00,CL44603,CLOETESVILLE,9,636,15,12:27:00,30-Jun-18,Saturday,30Jun-636-Saturday-Bergzicht,,
Bergzicht,12:22,,12.37,0,12:25:00,3JACOBSWP,CLOETESVILLE,9,665,15,12:29:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,12:22,,12.37,0,12:29:00,CF129556,KAYAMANDI,10,676,15,12:37:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:23,,12.38,0,12:24:00,CL16802,KAYAMANDI,10,676,15,12:26:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:24,,12.4,0,13:16:00,CL26788,IDAS VALLEY,9,630,14,13:25:00,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,
Bergzicht,12:24,,12.4,0,13:11:00,CL53491,IDAS VALLEY,9,630,15,13:15:00,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,
Bergzicht,12:24,,12.4,0,12:29:00,CL56735,CLOETESVILLE,9,665,15,12:31:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,12:24,,12.4,0,12:30:00,CL74694,CLOETESVILLE,9,665,15,12:35:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,12:24,,12.4,0,12:36:00,CL50176,CLOETESVILLE,9,665,15,12:40:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,12:24,,12.4,0,12:36:00,CL65488,CLOETESVILLE,9,665,15,12:41:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,12:24,,12.4,0,13:25:00,CL33233,IDAS VALLEY,9,665,15,13:30:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,12:24,,12.4,3,12:39:00,CL30517,JAMESTOWN,10,670,14,12:46:00,30-Jun-18,Saturday,30Jun-670-Saturday-Bergzicht,,
Bergzicht,12:29,,12.48,0,12:48:00,CFM43453,SOMERSET WEST,15,none,16,12:58:00,30-Jun-18,Saturday,30Jun-none-Saturday-Bergzicht,,
Bergzicht,12:31,,12.52,0,13:10:00,CFM54430,SOMERSET WEST,15,76,16,13:22:00,30-Jun-18,Saturday,30Jun-76-Saturday-Bergzicht,,
Bergzicht,12:31,,12.52,0,13:00:00,CFM26553,SOMERSET WEST,15,none,16,13:09:00,30-Jun-18,Saturday,30Jun-none-Saturday-Bergzicht,,
Bergzicht,12:32,,12.53,0,12:33:00,CL13220,KAYAMANDI,10,676,15,12:35:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:33,,12.55,0,12:42:00,CL78692,KYLEMORE,13,668,15,12:55:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,12:33,,12.55,0,12:34:00,CL31110,KAYAMANDI,10,676,15,12:38:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:34,,12.57,0,12:40:00,CL82352,CLOETESVILLE,9,665,15,12:47:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,12:34,,12.57,12,12:46:00,CL65735,CLOETESVILLE,9,665,15,12:48:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,12:36,,12.6,0,12:38:00,CL13453,KYLEMORE,13,668,15,13:03:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,12:36,,12.6,0,12:37:00,CL21874,KAYAMANDI,10,676,15,12:40:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:37,,12.62,13,13:03:00,CL283WP,KYLEMORE,13,668,15,13:13:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,12:37,,12.62,0,12:46:00,CL30351,JAMESTOWN,10,670,15,12:52:00,30-Jun-18,Saturday,30Jun-670-Saturday-Bergzicht,,
Bergzicht,12:37,,12.62,0,12:38:00,CL20504,KAYAMANDI,10,676,15,12:42:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:38,,12.63,0,12:48:00,CL30861,CLOETESVILLE,9,636,15,12:51:00,30-Jun-18,Saturday,30Jun-636-Saturday-Bergzicht,,
